id,code,sku,site,descricao,marca,modelo,cache,frequencia,socket
48,KB-PR-48,BX80684i79700F,Kabum,"Processador Intel Core i7-9700F Coffee Lake, Cache 12MB, 3.0GHz (4.7GHz Max Turbo), LGA 1151 - BX80684i79700F",Intel,Core i7-9700F Coffee Lake,12MB,3.0GHz (4.7GHz Max Turbo),LGA 1151
49,KB-PR-49,YD3000C6FHBOX,Kabum,"Processador AMD Athlon 3000G Two Core, Cache 5MB, 3500MHz, AM4 - YD3000C6FHBOX",Amd,Athlon 3000G Two Core,5MB,3500MHz,AM4
50,KB-PR-50,100-100000159BOX,Kabum,"Processador AMD Ryzen 3 3300X, Cache 18MB, 4.3Ghz, AM4 - 100-100000159BOX",Amd,Ryzen 3 3300X,18MB,4.3Ghz,AM4
51,KB-PR-51,YD292XA8AFWOF,Kabum,"Processador AMD Ryzen Threadripper 2920X, 12 Core, Cache 38MB, 3.5GHz (4.3GHz Max Turbo), TR4, Sem Vídeo - YD292XA8AFWOF",Amd,Ryzen Threadripper 2920X,38MB,3.5GHz (4.3GHz Max Turbo),TR4
52,KB-PR-52,FD8350FRHKHBX,Kabum,"Processador AMD FX-8350 Vishera c/ Wraith Cooler, Cache 16MB, 4.0GHz (4.2Ghz Max Turbo) AM3+ FD8350FRHKHBX",Amd,FX-8350 Vishera,16MB,4.0GHz (4.2Ghz Max Turbo),AM3
53,KB-PR-53,AD9600AGABBOX,Kabum,"Processador AMD A8 9600 Bristol Ridge, Cache 2MB, 3.1GHz (3.4GHz Max Turbo), AM4 - AD9600AGABBOX",Amd,A8 9600 Bristol Ridge,2MB,3.1GHz (3.4GHz Max Turbo),AM4
54,KB-PR-54,YD180XBCAEWOF,Kabum,"Processador AMD Ryzen 7 1800X, Cache 20MB, 3.6Ghz (4GHz Max Turbo), AM4 - YD180XBCAEWOF",Amd,Ryzen 7 1800X,20MB,3.6Ghz (4GHz Max Turbo),AM4
55,KB-PR-55,YD160XBCAEWOF,Kabum,"Processador AMD Ryzen 5 1600X, Cache 19MB, 3.6GHz (4Ghz Max Turbo), AM4 - YD160XBCAEWOF",Amd,Ryzen 5 1600X,19MB,3.6GHz (4Ghz Max Turbo),AM4
56,KB-PR-56,YD260XBCAFBOX,Kabum,"Processador AMD Ryzen 5 2600X, Cooler Wraith Spire, Cache 19MB, 3.6GHz (4.25GHz Max Turbo), AM4, Sem Vídeo - YD260XBCAFBOX",Amd,Ryzen 5 2600X,19MB,3.6GHz (4.25GHz Max Turbo),AM4
57,KB-PR-57,YD1600BBAFBOX,Kabum,"Processador AMD Ryzen 5 1600, Cache 19MB, 3.2GHz (3.6GHz Max Turbo), AM4 - YD1600BBAFBOX",Amd,Ryzen 5 1600,19MB,3.2GHz (3.6GHz Max Turbo),AM4
58,KB-PR-58,100-100000277WOF,Kabum,"Processador AMD Ryzen 9 3900XT, Cache 70MB, 4700MHz, AM4 - 100-100000277WOF",Amd,Ryzen 9 3900XT,70MB,4700MHz,AM4
59,KB-PR-59,100-100000061WOF,Kabum,"Processador AMD Ryzen 9 5900X, Cache 70MB, 3.8GHz (4.7GHz Max Turbo), AM4 - 100-100000061WOF",Amd,Ryzen 9 5900X,70MB,3.8GHz (4.7GHz Max Turbo),AM4
60,KB-PR-60,FD8150FRGUBOX,Kabum,Processador AMD Bulldozer FX 8150 Octa Core 3.6GHz 16MB AM3+ FD8150FRGUBOX,Amd,Bulldozer FX 8150 Octa Core,16MB,3.6GHz ,AM3
61,KB-PR-61,FD8300WMHKBOX,Kabum,"Processador AMD FX 8300 Black, Cache 16MB, 3.3GHz (4.2GHz Max Turbo), AM3+ - FD8300WMHKBOX",Amd,FX 8300 Black,16MB,3.3GHz (4.2GHz Max Turbo),AM3
62,KB-PR-62,AD9500AGABBOX,Kabum,"Processador AMD A6 9500 Bristol Ridge, Dual-Core, Cache 1MB, 3.5GHz (3.8GHz Max Turbo), AM4 - AD9500AGABBOX",Amd,A6 9500 Bristol Ridge,1MB,3.5GHz (3.8GHz Max Turbo),AM4
63,KB-PR-63,YD1700BBAEBOX,Kabum,"Processador AMD Ryzen 7 1700 c/ Wraith Spire, Octa Core, Cache 20MB, 3.0GHz (3.7GHz Max Turbo) AM4 YD1700BBAEBOX",Amd,Ryzen 7 1700,20MB,3.0GHz (3.7GHz Max Turbo),AM4
64,KB-PR-64,YD130XBBAEBOX,Kabum,"Processador AMD Ryzen 3 1300X c/ Wraith Cooler, Quad Core, Cache 10MB, 3.5GHz (3.7GHz Max Turbo) AM4 - YD130XBBAEBOX",Amd,Ryzen 3 1300X,10MB,3.5GHz (3.7GHz Max Turbo),AM4
65,KB-PR-65,YD270XBGAFBOX,Kabum,"Processador AMD Ryzen 7 2700X, Cooler Wraith Prism, Cache 20MB, 3.7GHz (4.35GHz Max Turbo), AM4, Sem Vídeo - YD270XBGAFBOX",Amd,Ryzen 7 2700X,20MB,3.7GHz (4.35GHz Max Turbo),AM4
