id,code,sku,site,descricao,marca,potencia
92,KB-FT-92,S12III-500,Kabum,"Fonte Seasonic, 500W, 80 Plus Bronze - S12III-500",Seasonic,500W
93,KB-FT-93,GM-550,Kabum,"Fonte Seasonic Focus GM-550, 550W, 80 Plus Gold, Semi-Modular - GM-550",Seasonic,550W
94,KB-FT-94,GM-750,Kabum,"Fonte Seasonic, 750W, 80 Plus Gold, Semi-Modular - GM-750",Seasonic,750W
95,KB-FT-95,GX-850,Kabum,"Fonte Seasonic, 850W, 80 Plus Gold, Modular - FOCUS GX-850",Seasonic,850W
96,KB-FT-96,SSR-700RA,Kabum,"Fonte Seasonic, 700W, 80 Plus, 220V - A12 SSR-700RA",Seasonic,700W
97,KB-FT-97,S12III-650,Kabum,"Fonte Seasonic, 650W, 80 Plus Bronze - S12III-650",Seasonic,650W
98,KB-FT-98,GX-750,Kabum,"Fonte Seasonic, 750W, 80 Plus Gold, Modular - FOCUS GX-750",Seasonic,750W
99,KB-FT-99,PS-SPD-0450NNFABB-1,Kabum,"Fonte Thermaltake TT Smart BX1, 450W, 80 Plus Bronze - PS-SPD-0450NNFABB-1",Thermaltake,450W
100,KB-FT-100,VFT230,Kabum,"Fonte Vinik Slim TFX, 230W - VFT230",Vinik,230W
101,KB-FT-101,FNWD0005,Kabum,Fonte Wisecase 500W - FNWD0005,Wisecase,500W
102,KB-FT-102,NaN,Kabum,"Fonte XPG Core Reactor, 750W, 80 Plus Gold Modular",XPG,750W
103,KB-FT-103,EN57181,Kabum,Fonte Aerocool 350W VX-350 EN57181,Aerocool,350W
104,KB-FT-104,EN57136,Kabum,Fonte Aerocool 500W VX-500 EN57136,Aerocool,500W
105,KB-FT-105,EN53367,Kabum,Fonte Aerocool 500W 80 Plus Bronze KCAS-500W EN53367,Aerocool,500W
106,KB-FT-106,KCAS,Kabum,Fonte Aerocool 400W 80 Plus White KCAS,Aerocool,400W
107,KB-FT-107,BLU230ESCASE,Kabum,"Fonte Bluecase BLU2030-EATX Small, 230W, Com Cabo - BLU230ESCASE",Bluecase,230W
108,KB-FT-108,500R-B,Kabum,"Fonte Bluecase Real BLU 500R-B, 500W, 80 Plus Bronze, com Cabo - BLU 500R-B",Bluecase,500W
109,KB-FT-109,BLU500R-B,Kabum,Fonte Bluecase 500W 80 Plus Bronze - BLU500R-B,Bluecase,500W
110,KB-FT-110,BLU350PFC,Kabum,Fonte BlueCase ATX 350W PFC c/ Cabo - BLU350PFC,Bluecase,350W
111,KB-FT-111,BLU500ECASE,Kabum,"Fonte Bluecase Blu 500-E ATX, 500W com Cabo - BLU500ECASE",Bluecase,500W
112,KB-FT-112,UP-S800W,Kabum,Fonte BR One 800W - UP-S800W,BR One,800W
113,KB-FT-113,PS-200V4,Kabum,"Fonte C3 Plus, 200W - PS-200V4",C3 Plus,200W
114,KB-FT-114,PS-G700M,Kabum,Fonte C3-Tech 700W 80 Plus White - PS-G700M,C3 tech,700W
115,KB-FT-115,MPW-5001-ACAAN1,Kabum,Fonte Cooler Master 500W Elite V3 - MPW-5001-ACAAN1,Cooler Master,500W
116,KB-FT-116,MPY-7501-AFAAG,Kabum,"Fonte Cooler Master MWE 750W, 80 Plus Gold, Modular - MPY-7501-AFAAG",Cooler Master,750W
117,KB-FT-117,MPW-6001-ACAAN1,Kabum,Fonte Cooler Master Elite V3 600W - MPW-6001-ACAAN1,Cooler Master,600W
118,KB-FT-118,MPX-4501-AMAAB,Kabum,Fonte Cooler Master 450W 80 Plus Bronze Semi-Modular MW - MPX-4501-AMAAB,Cooler Master,450W
119,KB-FT-119,RS-500-PCARN1,Kabum,Fonte Cooler Master 500W Elite - RS-500-PCARN1,Cooler Master,500W
120,KB-FT-120,MPE-4501-ACAAB-BR,Kabum,"Fonte Cooler Master MWE Bronze, 450W, 80 Plus Bronze - MPE-4501-ACAAB-BR",Cooler Master,450W
121,KB-FT-121,MPX-4501-ACAAB-BR,Kabum,"Fonte Cooler Master 450W, 80 Plus Bronze, com Cabo - MPX-4501-ACAAB-BR",Cooler Master,450W
122,KB-FT-122,MPZ-A001-AFBAPV,Kabum,"Fonte Cooler Master V1000 Platinum, 1000W, 80 Plus Platinum, Modular - MPZ-A001-AFBAPV",Cooler Master,1000W
123,KB-FT-123,NaN,Kabum,Fonte CoolerMaster GX 750W RS750-ACAAB3-WO 80 Plus Bronze,Cooler Master,750W
124,KB-FT-124,MPX-5501-AMAAB-OF,Kabum,"Fonte Cooler Master MasterWatt TUF 550W, 80 Plus Bronze, Semi-Modular - MPX-5501-AMAAB-OF",Cooler Master,550W
125,KB-FT-125,CP-9020070,Kabum,Fonte Corsair 1200W 80 Plus Platinum Modular HX1200i - CP-9020070,Corsair,1200W
126,KB-FT-126,CP-9020094,Kabum,Fonte Corsair 1000W 80 Plus Gold Modular RM1000X - CP-9020094,Corsair,1000W
127,KB-FT-127,CP-9020180,Kabum,Fonte Corsair 850W 80 Plus Gold Modular RMx - CP-9020180,Corsair,850W
128,KB-FT-128,CP-9020188-WW,Kabum,"Fonte Corsair RMX White Series, 850W, 80 Plus Gold, Modular, Branca - CP-9020188-WW",Corsair,850W
129,KB-FT-129,CP-9020223-BR,Kabum,"Fonte Corsair VS500, 500W, 80 Plus - CP-9020223-BR",Corsair,500W
