,code,cartao,boleto,data
509,KB-GP-285,4823.41,4099.9,2020-11-19
510,KB-GP-286,7783.41,6615.9,2020-11-19
511,KB-GP-287,3294.0,2799.9,2020-11-19
512,KB-GP-288,1294.0,1099.9,2020-11-19
513,KB-GP-289,3529.29,2999.9,2020-11-19
514,KB-GP-290,1235.18,1049.9,2020-11-19
515,KB-GP-291,3184.33,2865.9,2020-11-19
516,KB-GP-292,1882.24,1599.9,2020-11-19
517,KB-GP-293,1529.29,1299.9,2020-11-19
518,KB-GP-294,4823.41,4099.9,2020-11-19
519,KB-GP-295,1811.65,1539.9,2020-11-19
520,KB-GP-296,1999.88,1699.9,2020-11-19
521,KB-GP-297,16294.0,13849.9,2020-11-19
522,KB-GP-298,1294.0,1099.9,2020-11-19
523,KB-GP-299,4588.12,3899.9,2020-11-19
524,KB-GP-300,1176.35,999.9,2020-11-19
525,KB-GP-301,258.71,219.9,2020-11-19
526,KB-GP-302,328.14,278.92,2020-11-19
527,KB-GP-303,1732.82,1472.9,2020-11-19
528,KB-GP-304,2929.29,2489.9,2020-11-19
529,KB-GP-305,1294.0,1099.9,2020-11-19
530,KB-GP-306,4235.18,3599.9,2020-11-19
531,KB-GP-307,1729.29,1469.9,2020-11-19
532,KB-GP-308,764.59,649.9,2020-11-19
533,KB-GP-309,2588.12,2199.9,2020-11-19
